,featureNum,trainAcc_xgb,trainSec_xgb,testAcc_xgb,testSec_xgb,MSE_xgb,MAE_xgb,MAPE_xgb,trainAcc_svm,trainSec_svm,testAcc_svm,testSec_svm,MSE_svm,MAE_svm,MAPE_svm,trainAcc_xgb_hyp,trainSec_xgb_hyp,testAcc_xgb_hyp,testSec_xgb_hyp,MSE_xgb_hyp,MAE_xgb_hyp,MAPE_xgb_hyp
10,11,1.0,1.1090316772460938,0.9726402188782489,0.9669089317321777,0.027359781121751026,0.027359781121751026,12321750006485.637,0.9682912507339988,0.40838050842285156,0.9699042407660738,0.24322962760925293,0.030095759233926128,0.030095759233926128,86252250045399.38,1.0,1.8987810611724854,0.9794801641586868,2.140005588531494,0.02051983584131327,0.02051983584131327,12321750006485.637
11,12,1.0,1.2371540069580078,0.9740082079343365,1.130061149597168,0.025991792065663474,0.025991792065663474,18482625009728.45,0.907809747504404,0.6937055587768555,0.8878248974008208,0.3563344478607178,0.11627906976744186,0.11354309165526676,86252250045399.42,1.0,2.2721333503723145,0.9794801641586868,2.326179027557373,0.02051983584131327,0.02051983584131327,12321750006485.637
12,13,1.0,1.2131361961364746,0.9740082079343365,1.0940229892730713,0.030095759233926128,0.027359781121751026,24643500012971.26,0.8966529653552554,0.6736340522766113,0.8782489740082079,0.45142197608947754,0.12995896032831739,0.12448700410396717,86252250045399.42,1.0,1.5626804828643799,0.9808481532147743,1.1390695571899414,0.019151846785225718,0.019151846785225718,12321750006485.637
13,14,1.0,1.1911180019378662,0.9740082079343365,1.1120412349700928,0.025991792065663474,0.025991792065663474,18482625009728.45,0.8761009982384028,0.6580812931060791,0.8604651162790697,0.4193739891052246,0.1518467852257182,0.1436388508891929,92413125048642.27,1.0,10.540194749832153,0.9767441860465116,10.718622207641602,0.023255813953488372,0.023255813953488372,18482625009728.45
14,15,1.0,1.1650962829589844,0.9740082079343365,1.1080338954925537,0.030095759233926128,0.027359781121751026,24643500012971.26,0.8725778038755138,0.6766233444213867,0.8522571819425444,0.464306116104126,0.1600547195622435,0.1518467852257182,92413125048642.27,1.0,2.4282772541046143,0.9781121751025992,2.4392926692962646,0.02188782489740082,0.02188782489740082,12321750006485.637
15,16,1.0,1.250166416168213,0.9753761969904241,1.1490776538848877,0.028727770177838577,0.025991792065663474,24643500012971.26,0.8678802113916618,0.7296826839447021,0.8454172366621067,0.4344139099121094,0.17099863201094392,0.1600547195622435,92413125048642.28,1.0,2.2851438522338867,0.9781121751025992,2.475322961807251,0.02188782489740082,0.02188782489740082,18482625009728.45
16,17,1.0,1.4373455047607422,0.9753761969904241,1.1600828170776367,0.028727770177838577,0.025991792065663474,24643500012971.26,0.8678802113916618,0.7535049915313721,0.8467852257181943,0.3973729610443115,0.16963064295485636,0.15868673050615595,92413125048642.28,1.0,10.026405572891235,0.9726402188782489,9.751140594482422,0.027359781121751026,0.027359781121751026,18482625009728.45
17,18,1.0,1.2621848583221436,0.9740082079343365,1.2771975994110107,0.03419972640218878,0.028727770177838577,24643500012971.26,0.8667058132706987,0.6716296672821045,0.8440492476060192,0.397371768951416,0.17236662106703146,0.16142270861833105,92413125048642.28,1.0,6.4210121631622314,0.9767441860465116,6.355958461761475,0.023255813953488372,0.023255813953488372,18482625009728.45
18,19,1.0,1.2912087440490723,0.9740082079343365,1.2051293849945068,0.030095759233926128,0.027359781121751026,12321750006485.637,0.8672930123311803,0.6786379814147949,0.8440492476060192,0.42839813232421875,0.17236662106703146,0.16142270861833105,92413125048642.28,1.0,2.3692259788513184,0.9808481532147743,2.216076612472534,0.019151846785225718,0.019151846785225718,12321750006485.637
19,20,1.0,1.579479455947876,0.9726402188782489,1.2691915035247803,0.03146374829001368,0.028727770177838577,24643500012971.26,0.8655314151497357,0.7316892147064209,0.8440492476060192,0.4824485778808594,0.17236662106703146,0.16142270861833105,92413125048642.28,1.0,9.462828636169434,0.9712722298221614,8.372850179672241,0.028727770177838577,0.028727770177838577,18482625009728.45
20,21,1.0,1.3923015594482422,0.9753761969904241,1.242164134979248,0.024623803009575923,0.024623803009575923,12321750006485.637,0.8649442160892542,0.7887454032897949,0.8440492476060192,0.49045276641845703,0.17236662106703146,0.16142270861833105,92413125048642.28,1.0,1.2581813335418701,0.9794801641586868,1.2451715469360352,0.02051983584131327,0.02051983584131327,12321750006485.637
21,22,1.0,1.3072230815887451,0.9753761969904241,1.255176067352295,0.028727770177838577,0.025991792065663474,18482625009728.445,0.8649442160892542,0.7176713943481445,0.8440492476060192,0.43140244483947754,0.17236662106703146,0.16142270861833105,92413125048642.28,1.0,10.874198198318481,0.9753761969904241,10.96728777885437,0.024623803009575923,0.024623803009575923,18482625009728.45
22,23,1.0,1.3362557888031006,0.9712722298221614,1.3682782649993896,0.03283173734610123,0.030095759233926128,24643500012971.26,0.8655314151497357,0.6936540603637695,0.8440492476060192,0.45041990280151367,0.17236662106703146,0.16142270861833105,92413125048642.28,1.0,7.548081874847412,0.9753761969904241,7.379920721054077,0.024623803009575923,0.024623803009575923,18482625009728.45
23,24,1.0,1.4303362369537354,0.9740082079343365,1.3372530937194824,0.030095759233926128,0.027359781121751026,24643500012971.26,0.8667058132706987,0.7847304344177246,0.8481532147742818,0.48044776916503906,0.2216142270861833,0.17510259917920656,172504500090798.84,1.0,5.4561216831207275,0.9753761969904241,5.388052940368652,0.024623803009575923,0.024623803009575923,18482625009728.45
24,25,1.0,1.4683737754821777,0.9712722298221614,1.3862955570220947,0.036935704514363885,0.03146374829001368,24643500012971.26,0.8661186142102173,0.8337812423706055,0.8467852257181943,0.5124821662902832,0.22298221614227087,0.17647058823529413,172504500090798.84,1.0,6.380990266799927,0.9753761969904241,5.052735805511475,0.024623803009575923,0.024623803009575923,18482625009728.45
25,26,1.0,1.5124127864837646,0.9712722298221614,1.4583690166473389,0.036935704514363885,0.03146374829001368,24643500012971.26,0.8661186142102173,0.8578081130981445,0.8440492476060192,0.5475075244903564,0.22571819425444598,0.17920656634746923,172504500090798.84,1.0,8.803259134292603,0.9753761969904241,8.743197441101074,0.024623803009575923,0.024623803009575923,24643500012971.26
26,27,1.0,1.559462070465088,0.9740082079343365,1.4813835620880127,0.03419972640218878,0.028727770177838577,24643500012971.26,0.8667058132706987,1.0089116096496582,0.8440492476060192,0.5685322284698486,0.22571819425444598,0.17920656634746923,172504500090798.84,1.0,12.783992528915405,0.9753761969904241,12.922064781188965,0.024623803009575923,0.024623803009575923,24643500012971.26
27,28,1.0,1.5764718055725098,0.9699042407660738,1.4883935451507568,0.03419972640218878,0.03146374829001368,18482625009728.45,0.8672930123311803,0.96608567237854,0.8440492476060192,0.5134825706481934,0.22571819425444598,0.17920656634746923,172504500090798.84,1.0,9.835228443145752,0.9753761969904241,9.856239318847656,0.024623803009575923,0.024623803009575923,24643500012971.26
28,29,1.0,1.6015043258666992,0.9726402188782489,1.508415937423706,0.03146374829001368,0.028727770177838577,18482625009728.45,0.8667058132706987,0.8768234252929688,0.8440492476060192,0.5455060005187988,0.22571819425444598,0.17920656634746923,172504500090798.84,0.9994128009395185,4.193932771682739,0.9767441860465116,4.169910192489624,0.023255813953488372,0.023255813953488372,24643500012971.26
