,featureNum,trainAcc_xgb,testAcc_xgb,MSE_xgb,MAE_xgb,MAPE_xgb,trainAcc_svm,testAcc_svm,MSE_svm,MAE_svm,MAPE_svm,trainAcc_xgb_hyp,testAcc_xgb_hyp,MSE_xgb_hyp,MAE_xgb_hyp,MAPE_xgb_hyp
13,14,1.0,0.9740082079343365,0.025991792065663474,0.025991792065663474,18482625009728.45,0.8761009982384028,0.8604651162790697,0.1518467852257182,0.1436388508891929,92413125048642.27,1.0,0.9781121751025992,0.02188782489740082,0.02188782489740082,12321750006485.637
14,15,1.0,0.9740082079343365,0.030095759233926128,0.027359781121751026,24643500012971.26,0.8725778038755138,0.8522571819425444,0.1600547195622435,0.1518467852257182,92413125048642.27,1.0,0.9753761969904241,0.024623803009575923,0.024623803009575923,18482625009728.45
15,16,1.0,0.9753761969904241,0.028727770177838577,0.025991792065663474,24643500012971.26,0.8678802113916618,0.8454172366621067,0.17099863201094392,0.1600547195622435,92413125048642.28,1.0,0.9781121751025992,0.02188782489740082,0.02188782489740082,12321750006485.637
16,17,1.0,0.9753761969904241,0.028727770177838577,0.025991792065663474,24643500012971.26,0.8678802113916618,0.8467852257181943,0.16963064295485636,0.15868673050615595,92413125048642.28,1.0,0.9753761969904241,0.024623803009575923,0.024623803009575923,18482625009728.45
17,18,1.0,0.9740082079343365,0.03419972640218878,0.028727770177838577,24643500012971.26,0.8667058132706987,0.8440492476060192,0.17236662106703146,0.16142270861833105,92413125048642.28,0.9994128009395185,0.9753761969904241,0.024623803009575923,0.024623803009575923,24643500012971.26
18,19,1.0,0.9740082079343365,0.030095759233926128,0.027359781121751026,12321750006485.637,0.8672930123311803,0.8440492476060192,0.17236662106703146,0.16142270861833105,92413125048642.28,1.0,0.9767441860465116,0.023255813953488372,0.023255813953488372,12321750006485.637
19,20,1.0,0.9726402188782489,0.03146374829001368,0.028727770177838577,24643500012971.26,0.8655314151497357,0.8440492476060192,0.17236662106703146,0.16142270861833105,92413125048642.28,1.0,0.9753761969904241,0.024623803009575923,0.024623803009575923,18482625009728.45
20,21,1.0,0.9753761969904241,0.024623803009575923,0.024623803009575923,12321750006485.637,0.8649442160892542,0.8440492476060192,0.17236662106703146,0.16142270861833105,92413125048642.28,1.0,0.9767441860465116,0.023255813953488372,0.023255813953488372,12321750006485.637
21,22,1.0,0.9753761969904241,0.028727770177838577,0.025991792065663474,18482625009728.445,0.8649442160892542,0.8440492476060192,0.17236662106703146,0.16142270861833105,92413125048642.28,1.0,0.9767441860465116,0.023255813953488372,0.023255813953488372,18482625009728.45
22,23,1.0,0.9712722298221614,0.03283173734610123,0.030095759233926128,24643500012971.26,0.8655314151497357,0.8440492476060192,0.17236662106703146,0.16142270861833105,92413125048642.28,1.0,0.9794801641586868,0.02051983584131327,0.02051983584131327,12321750006485.637
23,24,1.0,0.9740082079343365,0.030095759233926128,0.027359781121751026,24643500012971.26,0.8667058132706987,0.8481532147742818,0.2216142270861833,0.17510259917920656,172504500090798.84,1.0,0.9753761969904241,0.024623803009575923,0.024623803009575923,18482625009728.45
24,25,1.0,0.9712722298221614,0.036935704514363885,0.03146374829001368,24643500012971.26,0.8661186142102173,0.8467852257181943,0.22298221614227087,0.17647058823529413,172504500090798.84,1.0,0.9740082079343365,0.025991792065663474,0.025991792065663474,18482625009728.45
25,26,1.0,0.9712722298221614,0.036935704514363885,0.03146374829001368,24643500012971.26,0.8661186142102173,0.8440492476060192,0.22571819425444598,0.17920656634746923,172504500090798.84,1.0,0.9726402188782489,0.027359781121751026,0.027359781121751026,18482625009728.45
26,27,1.0,0.9740082079343365,0.03419972640218878,0.028727770177838577,24643500012971.26,0.8667058132706987,0.8440492476060192,0.22571819425444598,0.17920656634746923,172504500090798.84,1.0,0.9767441860465116,0.023255813953488372,0.023255813953488372,24643500012971.26
27,28,1.0,0.9699042407660738,0.03419972640218878,0.03146374829001368,18482625009728.45,0.8672930123311803,0.8440492476060192,0.22571819425444598,0.17920656634746923,172504500090798.84,1.0,0.9753761969904241,0.024623803009575923,0.024623803009575923,24643500012971.26
28,29,1.0,0.9726402188782489,0.03146374829001368,0.028727770177838577,18482625009728.45,0.8667058132706987,0.8440492476060192,0.22571819425444598,0.17920656634746923,172504500090798.84,1.0,0.9740082079343365,0.025991792065663474,0.025991792065663474,24643500012971.26
