,featureNum,trainAcc_xgb,testAcc_xgb,MSE_xgb,MAE_xgb,MAPE_xgb,trainAcc_svm,testAcc_svm,MSE_svm,MAE_svm,MAPE_svm,trainAcc_xgb_hyp,testAcc_xgb_hyp,MSE_xgb_hyp,MAE_xgb_hyp,MAPE_xgb_hyp
11,12,1.0,0.9726402188782489,0.027359781121751026,0.027359781121751026,18482625009728.45,0.9577216676453317,0.9589603283173734,0.04103967168262654,0.04103967168262654,86252250045399.38,0.4967704051673517,0.47332421340629277,0.9917920656634747,0.6744186046511628,184826250097284.6
12,13,1.0,0.9740082079343365,0.025991792065663474,0.025991792065663474,18482625009728.45,0.9477392836171462,0.9384404924760602,0.06155950752393981,0.06155950752393981,86252250045399.38,0.49794480328831475,0.4774281805745554,0.9945280437756497,0.6716826265389877,184826250097284.6
13,14,1.0,0.9740082079343365,0.025991792065663474,0.025991792065663474,18482625009728.45,0.9401056958308867,0.93296853625171,0.06703146374829001,0.06703146374829001,86252250045399.38,0.5572519083969466,0.5280437756497948,0.9534883720930233,0.625170998632011,203308875107013.03
14,15,1.0,0.9753761969904241,0.024623803009575923,0.024623803009575923,12321750006485.637,0.9401056958308867,0.93296853625171,0.06703146374829001,0.06703146374829001,86252250045399.38,0.5049911920140928,0.4637482900136799,1.0601915184678523,0.7017783857729138,190987125100527.44
15,16,1.0,0.9740082079343365,0.025991792065663474,0.025991792065663474,18482625009728.45,0.9401056958308867,0.93296853625171,0.06703146374829001,0.06703146374829001,86252250045399.38,0.5149735760422783,0.4746922024623803,1.0287277701778386,0.6839945280437757,197148000103770.25
16,17,1.0,0.9740082079343365,0.030095759233926128,0.027359781121751026,12321750006485.637,0.9389312977099237,0.93296853625171,0.06703146374829001,0.06703146374829001,86252250045399.38,0.5202583675866118,0.478796169630643,0.987688098495212,0.667578659370725,197148000103770.22
17,18,1.0,0.9726402188782489,0.03146374829001368,0.028727770177838577,18482625009728.45,0.9389312977099237,0.93296853625171,0.06703146374829001,0.06703146374829001,86252250045399.38,0.4838520258367587,0.46101231190150477,1.0013679890560876,0.6839945280437757,203308875107013.03
18,19,1.0,0.9753761969904241,0.024623803009575923,0.024623803009575923,12321750006485.637,0.8672930123311803,0.8440492476060192,0.17236662106703146,0.16142270861833105,92413125048642.28,0.48326482677627713,0.4582763337893297,1.0807113543091655,0.7113543091655267,184826250097284.6
19,20,1.0,0.9753761969904241,0.024623803009575923,0.024623803009575923,18482625009728.45,0.8655314151497357,0.8440492476060192,0.17236662106703146,0.16142270861833105,92413125048642.28,0.5002935995302408,0.4692202462380301,1.0218878248974008,0.6853625170998632,197148000103770.22
20,21,1.0,0.9726402188782489,0.027359781121751026,0.027359781121751026,18482625009728.45,0.8661186142102173,0.8467852257181943,0.22298221614227087,0.17647058823529413,172504500090798.84,0.48150322959483266,0.4637482900136799,1.0027359781121752,0.6826265389876881,203308875107013.03
21,22,1.0,0.9726402188782489,0.03146374829001368,0.028727770177838577,18482625009728.45,0.8655314151497357,0.8481532147742818,0.2216142270861833,0.17510259917920656,172504500090798.84,0.5049911920140928,0.46785225718194257,1.0341997264021887,0.6894664842681258,197148000103770.25
22,23,1.0,0.9726402188782489,0.03146374829001368,0.028727770177838577,18482625009728.45,0.8655314151497357,0.8481532147742818,0.2216142270861833,0.17510259917920656,172504500090798.84,0.4867880211391662,0.46238030095759236,1.0177838577291383,0.6894664842681258,184826250097284.6
